       FUNCTION                                                     SCORE    LoC   ULoC    CC    DE   DFC   LOCATION
 1     settings_parser_parse                                         1.00   1469     -    484    89     5   src/libstrongswan/settings/settings_parser.c:1303
 2     library_init                                                  0.68    489     -    111   106     1   src/libstrongswan/library.c:305
 3     identification_create_from_data                               0.53    692     -    202    57     3   src/libstrongswan/utils/identification.c:1993
 4     payload_create                                                0.46    239     -     80    72     0   src/libcharon/encoding/payloads/payload.c:188
 5     x509_cert_load                                                0.43    846     -    232    35     0   src/libstrongswan/plugins/x509/x509_cert.c:2690
 6     identification_create_from_string                             0.40    562     -    163    41     2   src/libstrongswan/utils/identification.c:1881
 7     identification_printf_hook                                    0.35    301     -     92    23    25   src/libstrongswan/utils/identification.c:1447
 8     kernel_netlink_net_create                                     0.34    536     -    143    32     4   src/libcharon/plugins/kernel_netlink/kernel_netlink_net.c:3053
 9     pkcs5_from_algorithmIdentifier                                0.31    536     -    160    20     8   src/libstrongswan/crypto/pkcs5.c:615
 10    kernel_netlink_ipsec_create                                   0.30    364     -     98    33     5   src/libcharon/plugins/kernel_netlink/kernel_netlink_ipsec.c:4185
 11    pkcs7_generic_load                                            0.29    470     -    128    30     0   src/libstrongswan/plugins/pkcs7/pkcs7_generic.c:100
 12    signature_params_parse                                        0.28    416     -    161    13     8   src/libstrongswan/credentials/keys/signature_params.c:186
 13    load_creds_cfg                                                0.26    560     -    137    16     6   src/swanctl/commands/load_creds.c:888
 14    x509_cert_gen                                                 0.25    662     -    160    16     0   src/libstrongswan/plugins/x509/x509_cert.c:2732
 15    openssl_x509_load                                             0.24    555     -    167    12     1   src/libstrongswan/plugins/openssl/openssl_x509.c:1302
 16    rsa_pss_params_parse                                          0.24    338     -    125    13     7   src/libstrongswan/credentials/keys/signature_params.c:277
 17    libcharon_init                                                0.23    118     -     23    39     0   src/libcharon/daemon.c:998
 18    settings_section_add                                          0.22    384     -    113    17     2   src/libstrongswan/settings/settings_types.c:194
 19    plugin_feature_hash                                           0.22    170     -     53    31     0   src/libstrongswan/plugins/plugin_feature.c:63
 20    settings_section_extend                                       0.22    382     -    112    17     2   src/libstrongswan/settings/settings_types.c:248
 21    pem_public_key_load                                           0.20    330     -    105    17     1   src/libstrongswan/plugins/pem/pem_builder.c:515
 22    pem_private_key_load                                          0.20    330     -    105    17     1   src/libstrongswan/plugins/pem/pem_builder.c:507
 23    pem_certificate_load                                          0.20    330     -    105    17     1   src/libstrongswan/plugins/pem/pem_builder.c:523
 24    pem_container_load                                            0.20    330     -    105    17     1   src/libstrongswan/plugins/pem/pem_builder.c:531
 25    proposal_create_from_string                                   0.19    300     -     96    15     2   src/libstrongswan/crypto/proposal/proposal.c:1370
 26    chunk_hash_ptr                                                0.19     84     -     20    32     0   src/libstrongswan/utils/chunk.c:1094
 27    hashtable_hash_ptr                                            0.18     87     -     21    31     0   src/libstrongswan/collections/hashtable.c:163
 28    hashtable_hash_str                                            0.18     87     -     21    31     0   src/libstrongswan/collections/hashtable.c:171
 29    chunk_hash_static                                             0.18     82     -     19    31     0   src/libstrongswan/utils/chunk.c:1110
 30    chunk_hash                                                    0.18     82     -     19    31     0   src/libstrongswan/utils/chunk.c:1086
